episode_id,created_at,policy,policy_version_id,player_name,slot,hero,team,ticks,xp,xp_rate,last_hits,hero_kills,building_kills,deaths,farm_rate,hero_rate,building_rate,nearby_enemy_deaths,nearby_kills,enemy_deaths,win
ereq_835f6c28-2abf-48f6-8edf-d4966a75fc2f,2026-09-17T23:54:24.367966Z,richard-gods-of-the-arena:v78,881a807d-68ab-4a62-9b6c-e98694cf0bc3,richard,0,Death Knight,RedTeam,16458,525,31.89938024061247,17,0,1,11,25.823307813829143,0.0,6.076072426783327,6,0,52,1
ereq_835f6c28-2abf-48f6-8edf-d4966a75fc2f,2026-09-17T23:54:24.367966Z,aaron-gota-ir-perimeter-blue_repair-0916-aaron:v1,b64f1ccb-02e1-4ad5-b75b-f374222e9e9a,Aaron,1,Crossbowman,RedTeam,16458,6325,384.31158099404547,119,19,5,5,180.76315469680398,173.16806416332483,30.380362133916638,21,19,52,1
ereq_835f6c28-2abf-48f6-8edf-d4966a75fc2f,2026-09-17T23:54:24.367966Z,macromackie-gota:v4,1a78a3f9-8112-4c2c-831a-f0ffee8dbacc,macromackie,2,Lich,RedTeam,16458,2800,170.13002794993315,48,10,1,9,72.91286912139992,91.1410864017499,6.076072426783327,15,10,52,1
ereq_835f6c28-2abf-48f6-8edf-d4966a75fc2f,2026-09-17T23:54:24.367966Z,red-kite:v34,a4590ed4-0b0c-4d86-8968-0844796f30e0,Andrew Brower,3,Warlock,RedTeam,16458,3250,197.47235387045814,64,9,3,4,97.21715882853323,82.02697776157491,18.22821728034998,10,9,52,1
ereq_835f6c28-2abf-48f6-8edf-d4966a75fc2f,2026-09-17T23:54:24.367966Z,gota-vanguard-rally-hold:v1,3ccd4955-3d9c-4c79-a243-e5dc12d650ad,daveey,4,Berserker,RedTeam,16458,4250,258.23307813829143,88,13,1,15,133.6735933892332,118.48341232227489,6.076072426783327,21,13,52,1
ereq_835f6c28-2abf-48f6-8edf-d4966a75fc2f,2026-09-17T23:54:24.367966Z,aaron-gota-ir-coordinated-support-anchor-0916:v1,9cedf3ff-c7ce-4cff-897f-d48b44e049ad,Aaron's Co-play Coach,5,Vanguard Knight,BlueTeam,16458,2150,130.63555717584154,40,7,1,11,60.760724267833275,63.79876048122494,6.076072426783327,15,7,44,0
ereq_835f6c28-2abf-48f6-8edf-d4966a75fc2f,2026-09-17T23:54:24.367966Z,khors:v1,fa00903c-0ba4-4eec-b20f-4c082550d80f,Andre von Auto,6,Ranger,BlueTeam,16458,3075,186.8392271235873,81,7,0,12,123.04046664236238,63.79876048122494,0.0,14,7,44,0
ereq_835f6c28-2abf-48f6-8edf-d4966a75fc2f,2026-09-17T23:54:24.367966Z,Jordan-ply_bcb80069-fb0c-4ba5-a45c-06b647870aeb:v218,f1cf890b-42d5-4cca-98cc-782774a7e9a7,Jordan,7,Arcanist,BlueTeam,16458,3700,224.81467979098312,96,8,1,14,145.82573824279984,72.91286912139992,6.076072426783327,10,8,44,0
ereq_835f6c28-2abf-48f6-8edf-d4966a75fc2f,2026-09-17T23:54:24.367966Z,james-botts-gota:v13,40d72eea-ac61-44b0-aaf4-7828fbf30170,James Botts,8,Druid Warden,BlueTeam,16458,3825,232.40977032446227,153,0,0,4,232.40977032446227,0.0,0.0,5,0,44,0
ereq_835f6c28-2abf-48f6-8edf-d4966a75fc2f,2026-09-17T23:54:24.367966Z,black-kite:v16,d10d7d74-40a7-4f6c-8838-e09729160349,Andrew Brower B,9,Demon Hunter,BlueTeam,16458,5425,329.6269291529955,117,16,1,11,177.72511848341233,145.82573824279984,6.076072426783327,22,16,44,0
ereq_00b7e0a4-cb95-4119-bcf3-1ce4a92bfac8,2026-09-17T23:54:24.351117Z,aaron-gota-ir-coordinated-support-anchor-0916:v1,9cedf3ff-c7ce-4cff-897f-d48b44e049ad,Aaron's Co-play Coach,0,Death Knight,RedTeam,9097,1100,120.91898428053204,22,3,1,3,60.45949214026602,49.4668572056722,10.992634934593822,6,3,30,1
ereq_00b7e0a4-cb95-4119-bcf3-1ce4a92bfac8,2026-09-17T23:54:24.351117Z,gota-g002:v1,a30542cb-54de-4109-92e6-bcabca7db4d8,Alex Smith,1,Crossbowman,RedTeam,9097,3050,335.27536550511155,46,12,1,2,126.41530174782895,197.8674288226888,10.992634934593822,18,12,30,1
ereq_00b7e0a4-cb95-4119-bcf3-1ce4a92bfac8,2026-09-17T23:54:24.351117Z,Jordan-ply_bcb80069-fb0c-4ba5-a45c-06b647870aeb:v218,f1cf890b-42d5-4cca-98cc-782774a7e9a7,Jordan,2,Lich,RedTeam,9097,1475,162.14136528525887,25,5,1,4,68.7039683412114,82.44476200945367,10.992634934593822,9,5,30,1
ereq_00b7e0a4-cb95-4119-bcf3-1ce4a92bfac8,2026-09-17T23:54:24.351117Z,red-kite:v34,a4590ed4-0b0c-4d86-8968-0844796f30e0,Andrew Brower,3,Warlock,RedTeam,9097,2350,258.32692096295483,60,5,1,3,164.88952401890734,82.44476200945367,10.992634934593822,9,5,30,1
ereq_00b7e0a4-cb95-4119-bcf3-1ce4a92bfac8,2026-09-17T23:54:24.351117Z,Polyworld GOTA base.bas:v1,e8aed568-d03c-49bf-beaf-68c731f05d26,Andre von Houck,4,Berserker,RedTeam,9097,2000,219.85269869187644,50,3,3,6,137.4079366824228,49.4668572056722,32.97790480378146,7,3,30,1
ereq_00b7e0a4-cb95-4119-bcf3-1ce4a92bfac8,2026-09-17T23:54:24.351117Z,aaron-gota-ir-perimeter-blue_repair-0916-aaron:v1,b64f1ccb-02e1-4ad5-b75b-f374222e9e9a,Aaron,5,Vanguard Knight,BlueTeam,9097,2500,274.8158733648456,66,3,4,2,181.37847642079805,49.4668572056722,43.97053973837529,6,3,18,0
ereq_00b7e0a4-cb95-4119-bcf3-1ce4a92bfac8,2026-09-17T23:54:24.351117Z,james-botts-gota:v13,40d72eea-ac61-44b0-aaf4-7828fbf30170,James Botts,6,Ranger,BlueTeam,9097,900,98.9337144113444,24,2,0,2,65.95580960756293,32.97790480378146,0.0,5,2,18,0
ereq_00b7e0a4-cb95-4119-bcf3-1ce4a92bfac8,2026-09-17T23:54:24.351117Z,richard-gods-of-the-arena:v78,881a807d-68ab-4a62-9b6c-e98694cf0bc3,richard,7,Arcanist,BlueTeam,9097,2875,316.03825436957237,71,6,2,9,195.11927008904036,98.9337144113444,21.985269869187643,9,6,18,0
ereq_00b7e0a4-cb95-4119-bcf3-1ce4a92bfac8,2026-09-17T23:54:24.351117Z,relh-gods-of-the-arena:v154,99ff8b49-8bb6-4ee2-9204-ff24a8efda4e,relh,8,Druid Warden,BlueTeam,9097,575,63.207650873914474,19,0,1,7,52.21501593932066,0.0,10.992634934593822,4,0,18,0
ereq_00b7e0a4-cb95-4119-bcf3-1ce4a92bfac8,2026-09-17T23:54:24.351117Z,macromackie-gota:v4,1a78a3f9-8112-4c2c-831a-f0ffee8dbacc,macromackie,9,Demon Hunter,BlueTeam,9097,1275,140.15609541607122,27,2,3,10,74.2002858085083,32.97790480378146,32.97790480378146,5,2,18,0
ereq_8eae53ab-3c16-454d-a4ef-64525c0757a4,2026-09-17T23:54:24.370706Z,macromackie-gota:v4,1a78a3f9-8112-4c2c-831a-f0ffee8dbacc,macromackie,0,Death Knight,RedTeam,12080,1075,88.99006622516556,21,3,1,7,43.46026490066225,37.25165562913907,8.278145695364238,8,3,29,0
ereq_8eae53ab-3c16-454d-a4ef-64525c0757a4,2026-09-17T23:54:24.370706Z,gota-g002:v1,a30542cb-54de-4109-92e6-bcabca7db4d8,Alex Smith,1,Crossbowman,RedTeam,12080,3625,300.0827814569536,51,15,1,5,105.54635761589404,186.25827814569536,8.278145695364238,23,15,29,0
ereq_8eae53ab-3c16-454d-a4ef-64525c0757a4,2026-09-17T23:54:24.370706Z,james-botts-gota:v13,40d72eea-ac61-44b0-aaf4-7828fbf30170,James Botts,2,Lich,RedTeam,12080,1975,163.4933774834437,61,3,0,3,126.24172185430463,37.25165562913907,0.0,17,3,29,0
ereq_8eae53ab-3c16-454d-a4ef-64525c0757a4,2026-09-17T23:54:24.370706Z,aaron-gota-ir-perimeter-blue_repair-0916-aaron:v1,b64f1ccb-02e1-4ad5-b75b-f374222e9e9a,Aaron,3,Warlock,RedTeam,12080,2750,227.64900662251657,68,5,3,7,140.72847682119206,62.086092715231786,24.834437086092716,11,5,29,0
ereq_8eae53ab-3c16-454d-a4ef-64525c0757a4,2026-09-17T23:54:24.370706Z,richard-gods-of-the-arena:v78,881a807d-68ab-4a62-9b6c-e98694cf0bc3,richard,4,Berserker,RedTeam,12080,2150,177.98013245033113,64,3,1,10,132.4503311258278,37.25165562913907,8.278145695364238,10,3,29,0
ereq_8eae53ab-3c16-454d-a4ef-64525c0757a4,2026-09-17T23:54:24.370706Z,red-kite:v34,a4590ed4-0b0c-4d86-8968-0844796f30e0,Andrew Brower,5,Vanguard Knight,BlueTeam,12080,450,37.25165562913907,18,0,0,4,37.25165562913907,0.0,0.0,7,0,32,1
ereq_8eae53ab-3c16-454d-a4ef-64525c0757a4,2026-09-17T23:54:24.370706Z,black-kite:v16,d10d7d74-40a7-4f6c-8838-e09729160349,Andrew Brower B,6,Ranger,BlueTeam,12080,5050,418.04635761589407,96,15,4,3,198.67549668874173,186.25827814569536,33.11258278145695,15,15,32,1
ereq_8eae53ab-3c16-454d-a4ef-64525c0757a4,2026-09-17T23:54:24.370706Z,gota-g003:v2,8cea4626-a0f1-4dd0-b066-58e6bd194ad3,Scott Smith,7,Arcanist,BlueTeam,12080,2475,204.8841059602649,75,4,0,9,155.21523178807948,49.66887417218543,0.0,11,4,32,1
ereq_8eae53ab-3c16-454d-a4ef-64525c0757a4,2026-09-17T23:54:24.370706Z,aaron-gota-ir-coordinated-support-anchor-0916:v1,9cedf3ff-c7ce-4cff-897f-d48b44e049ad,Aaron's Co-play Coach,8,Druid Warden,BlueTeam,12080,950,78.64238410596026,16,3,1,3,33.11258278145695,37.25165562913907,8.278145695364238,7,3,32,1
ereq_8eae53ab-3c16-454d-a4ef-64525c0757a4,2026-09-17T23:54:24.370706Z,khors:v1,fa00903c-0ba4-4eec-b20f-4c082550d80f,Andre von Auto,9,Demon Hunter,BlueTeam,12080,2550,211.09271523178808,44,9,1,10,91.05960264900662,111.75496688741723,8.278145695364238,12,8,32,1
ereq_9cb72360-d704-45e2-af83-38877cf6e697,2026-09-17T23:54:24.378662Z,Jordan-ply_bcb80069-fb0c-4ba5-a45c-06b647870aeb:v218,f1cf890b-42d5-4cca-98cc-782774a7e9a7,Jordan,0,Death Knight,RedTeam,5025,325,64.67661691542288,9,0,1,2,44.776119402985074,0.0,19.90049751243781,2,0,10,1
ereq_9cb72360-d704-45e2-af83-38877cf6e697,2026-09-17T23:54:24.378662Z,aaron-gota-ir-perimeter-blue_repair-0916-aaron:v1,b64f1ccb-02e1-4ad5-b75b-f374222e9e9a,Aaron,1,Crossbowman,RedTeam,5025,1425,283.5820895522388,29,4,1,1,144.27860696517413,119.40298507462687,19.90049751243781,4,4,10,1
ereq_9cb72360-d704-45e2-af83-38877cf6e697,2026-09-17T23:54:24.378662Z,gota-g002:v1,a30542cb-54de-4109-92e6-bcabca7db4d8,Alex Smith,2,Lich,RedTeam,5025,1675,333.3333333333333,27,4,4,1,134.32835820895522,119.40298507462687,79.60199004975124,6,4,10,1
ereq_9cb72360-d704-45e2-af83-38877cf6e697,2026-09-17T23:54:24.378662Z,james-botts-gota:v13,40d72eea-ac61-44b0-aaf4-7828fbf30170,James Botts,3,Warlock,RedTeam,5025,500,99.50248756218906,20,0,0,3,99.50248756218906,0.0,0.0,1,0,10,1
ereq_9cb72360-d704-45e2-af83-38877cf6e697,2026-09-17T23:54:24.378662Z,macromackie-gota:v4,1a78a3f9-8112-4c2c-831a-f0ffee8dbacc,macromackie,4,Berserker,RedTeam,5025,800,159.20398009950247,18,1,2,3,89.55223880597015,29.850746268656717,39.80099502487562,4,1,10,1
ereq_9cb72360-d704-45e2-af83-38877cf6e697,2026-09-17T23:54:24.378662Z,gota-vanguard-rally-hold:v1,3ccd4955-3d9c-4c79-a243-e5dc12d650ad,daveey,5,Vanguard Knight,BlueTeam,5025,725,144.27860696517413,11,3,0,5,54.72636815920398,89.55223880597015,0.0,5,3,10,0
ereq_9cb72360-d704-45e2-af83-38877cf6e697,2026-09-17T23:54:24.378662Z,gota-g003:v2,8cea4626-a0f1-4dd0-b066-58e6bd194ad3,Scott Smith,6,Ranger,BlueTeam,5025,1625,323.3830845771144,45,2,2,1,223.88059701492537,59.701492537313435,39.80099502487562,3,2,10,0
ereq_9cb72360-d704-45e2-af83-38877cf6e697,2026-09-17T23:54:24.378662Z,khors:v1,fa00903c-0ba4-4eec-b20f-4c082550d80f,Andre von Auto,7,Arcanist,BlueTeam,5025,1075,213.93034825870646,19,4,0,1,94.5273631840796,119.40298507462687,0.0,6,4,10,0
ereq_9cb72360-d704-45e2-af83-38877cf6e697,2026-09-17T23:54:24.378662Z,gota-codex-side-aware-team-secondary-20260917:v1,a7551ee6-ef55-48f0-81bc-d1ba68ca54c2,daveey-2,8,Druid Warden,BlueTeam,5025,150,29.850746268656717,6,0,0,1,29.850746268656717,0.0,0.0,1,0,10,0
ereq_9cb72360-d704-45e2-af83-38877cf6e697,2026-09-17T23:54:24.378662Z,black-kite:v16,d10d7d74-40a7-4f6c-8838-e09729160349,Andrew Brower B,9,Demon Hunter,BlueTeam,5025,1325,263.681592039801,45,0,2,2,223.88059701492537,0.0,39.80099502487562,0,0,10,0
ereq_c6ef2db4-bdb7-4cb8-a608-0f3f75b162a4,2026-09-17T23:54:24.377780Z,aaron-gota-ir-coordinated-support-anchor-0916:v1,9cedf3ff-c7ce-4cff-897f-d48b44e049ad,Aaron's Co-play Coach,0,Death Knight,RedTeam,6622,2300,347.32709151313804,48,4,5,2,181.21413470250678,90.60706735125339,75.50588945937783,6,4,47,1
ereq_c6ef2db4-bdb7-4cb8-a608-0f3f75b162a4,2026-09-17T23:54:24.377780Z,Jordan-ply_bcb80069-fb0c-4ba5-a45c-06b647870aeb:v218,f1cf890b-42d5-4cca-98cc-782774a7e9a7,Jordan,1,Crossbowman,RedTeam,6622,6025,909.8459679855029,31,33,3,0,117.03412866203564,747.5083056478405,45.303533675626696,39,33,47,1
ereq_c6ef2db4-bdb7-4cb8-a608-0f3f75b162a4,2026-09-17T23:54:24.377780Z,james-botts-gota:v13,40d72eea-ac61-44b0-aaf4-7828fbf30170,James Botts,2,Lich,RedTeam,6622,1275,192.54001812141348,33,3,0,0,124.58471760797342,67.95530051344005,0.0,31,3,47,1
ereq_c6ef2db4-bdb7-4cb8-a608-0f3f75b162a4,2026-09-17T23:54:24.377780Z,black-kite:v16,d10d7d74-40a7-4f6c-8838-e09729160349,Andrew Brower B,3,Warlock,RedTeam,6622,1875,283.14708547266684,53,3,1,1,200.09060706735124,67.95530051344005,15.101177891875567,10,3,47,1
ereq_c6ef2db4-bdb7-4cb8-a608-0f3f75b162a4,2026-09-17T23:54:24.377780Z,macromackie-gota:v4,1a78a3f9-8112-4c2c-831a-f0ffee8dbacc,macromackie,4,Berserker,RedTeam,6622,1300,196.31531259438236,26,3,2,2,98.15765629719118,67.95530051344005,30.202355783751134,10,3,47,1
ereq_c6ef2db4-bdb7-4cb8-a608-0f3f75b162a4,2026-09-17T23:54:24.377780Z,gota-g002:v1,a30542cb-54de-4109-92e6-bcabca7db4d8,Alex Smith,5,Vanguard Knight,BlueTeam,6622,0,0.0,0,0,0,12,0.0,0.0,0.0,0,0,5,0
ereq_c6ef2db4-bdb7-4cb8-a608-0f3f75b162a4,2026-09-17T23:54:24.377780Z,relh-gods-of-the-arena:v154,99ff8b49-8bb6-4ee2-9204-ff24a8efda4e,relh,6,Ranger,BlueTeam,6622,1775,268.0459075807913,55,2,1,7,207.64119601328903,45.303533675626696,15.101177891875567,2,2,5,0
ereq_c6ef2db4-bdb7-4cb8-a608-0f3f75b162a4,2026-09-17T23:54:24.377780Z,red-kite:v34,a4590ed4-0b0c-4d86-8968-0844796f30e0,Andrew Brower,7,Arcanist,BlueTeam,6622,750,113.25883418906675,24,1,0,7,90.60706735125339,22.651766837813348,0.0,1,1,5,0
ereq_c6ef2db4-bdb7-4cb8-a608-0f3f75b162a4,2026-09-17T23:54:24.377780Z,gota-g003:v2,8cea4626-a0f1-4dd0-b066-58e6bd194ad3,Scott Smith,8,Druid Warden,BlueTeam,6622,675,101.93295077016008,27,0,0,10,101.93295077016008,0.0,0.0,0,0,5,0
ereq_c6ef2db4-bdb7-4cb8-a608-0f3f75b162a4,2026-09-17T23:54:24.377780Z,richard-gods-of-the-arena:v78,881a807d-68ab-4a62-9b6c-e98694cf0bc3,richard,9,Demon Hunter,BlueTeam,6622,400,60.40471156750227,16,0,0,11,60.40471156750227,0.0,0.0,1,0,5,0
ereq_edfd2716-26e7-4f8c-b7c7-fd250242cc60,2026-09-17T23:54:24.362944Z,gota-g002:v1,a30542cb-54de-4109-92e6-bcabca7db4d8,Alex Smith,0,Death Knight,RedTeam,11045,1550,140.33499320959712,32,5,0,5,72.43096423721141,67.90402897238569,0.0,12,5,44,1
ereq_edfd2716-26e7-4f8c-b7c7-fd250242cc60,2026-09-17T23:54:24.362944Z,james-botts-gota:v13,40d72eea-ac61-44b0-aaf4-7828fbf30170,James Botts,1,Crossbowman,RedTeam,11045,1575,142.59846084200996,51,2,0,0,115.43684925305568,27.161611588954276,0.0,5,2,44,1
ereq_edfd2716-26e7-4f8c-b7c7-fd250242cc60,2026-09-17T23:54:24.362944Z,aaron-gota-ir-coordinated-support-anchor-0916:v1,9cedf3ff-c7ce-4cff-897f-d48b44e049ad,Aaron's Co-play Coach,2,Lich,RedTeam,11045,3625,328.2028066998642,57,10,7,3,129.01765504753283,135.80805794477138,63.37709370755998,12,10,44,1
ereq_edfd2716-26e7-4f8c-b7c7-fd250242cc60,2026-09-17T23:54:24.362944Z,aaron-gota-ir-perimeter-blue_repair-0916-aaron:v1,b64f1ccb-02e1-4ad5-b75b-f374222e9e9a,Aaron,3,Warlock,RedTeam,11045,1975,178.81394296061566,15,8,4,4,33.952014486192844,108.6464463558171,36.215482118605706,15,8,44,1
ereq_edfd2716-26e7-4f8c-b7c7-fd250242cc60,2026-09-17T23:54:24.362944Z,red-kite:v34,a4590ed4-0b0c-4d86-8968-0844796f30e0,Andrew Brower,4,Berserker,RedTeam,11045,3225,291.98732458125846,27,17,0,7,61.113626075147124,230.87369850611137,0.0,21,17,44,1
ereq_edfd2716-26e7-4f8c-b7c7-fd250242cc60,2026-09-17T23:54:24.362944Z,black-kite:v16,d10d7d74-40a7-4f6c-8838-e09729160349,Andrew Brower B,5,Vanguard Knight,BlueTeam,11045,2225,201.44861928474424,83,1,0,9,187.86781349026708,13.580805794477138,0.0,3,1,19,0
ereq_edfd2716-26e7-4f8c-b7c7-fd250242cc60,2026-09-17T23:54:24.362944Z,gota-vanguard-rally-hold:v1,3ccd4955-3d9c-4c79-a243-e5dc12d650ad,daveey,6,Ranger,BlueTeam,11045,1700,153.91579900407424,46,3,1,9,104.1195110909914,40.742417383431416,9.053870529651427,11,3,19,0
ereq_edfd2716-26e7-4f8c-b7c7-fd250242cc60,2026-09-17T23:54:24.362944Z,Jordan-ply_bcb80069-fb0c-4ba5-a45c-06b647870aeb:v218,f1cf890b-42d5-4cca-98cc-782774a7e9a7,Jordan,7,Arcanist,BlueTeam,11045,4550,411.9511090991399,104,11,3,4,235.40063377093708,149.38886373924854,27.161611588954276,12,11,19,0
ereq_edfd2716-26e7-4f8c-b7c7-fd250242cc60,2026-09-17T23:54:24.362944Z,macromackie-gota:v4,1a78a3f9-8112-4c2c-831a-f0ffee8dbacc,macromackie,8,Druid Warden,BlueTeam,11045,675,61.113626075147124,27,0,0,9,61.113626075147124,0.0,0.0,5,0,19,0
ereq_edfd2716-26e7-4f8c-b7c7-fd250242cc60,2026-09-17T23:54:24.362944Z,richard-gods-of-the-arena:v78,881a807d-68ab-4a62-9b6c-e98694cf0bc3,richard,9,Demon Hunter,BlueTeam,11045,1250,113.17338162064283,34,2,1,13,76.95789950203712,27.161611588954276,9.053870529651427,4,2,19,0
ereq_0c50cfb5-e009-45d2-bbc2-24d11ed667ec,2026-09-17T23:54:24.372142Z,red-kite:v34,a4590ed4-0b0c-4d86-8968-0844796f30e0,Andrew Brower,0,Death Knight,RedTeam,5629,2200,390.8331852904601,54,5,1,2,239.82945461005508,133.23858589447505,17.765144785930005,5,5,14,0
ereq_0c50cfb5-e009-45d2-bbc2-24d11ed667ec,2026-09-17T23:54:24.372142Z,nancy-goa:v2,2777766f-4931-4fd9-83f2-44a3f509ede1,NanosaurusX,1,Crossbowman,RedTeam,5629,1450,257.5945993959851,34,4,0,2,151.00373068040506,106.59086871558003,0.0,4,4,14,0
ereq_0c50cfb5-e009-45d2-bbc2-24d11ed667ec,2026-09-17T23:54:24.372142Z,khors:v1,fa00903c-0ba4-4eec-b20f-4c082550d80f,Andre von Auto,2,Lich,RedTeam,5629,1375,244.27074080653756,31,4,0,1,137.67987209095753,106.59086871558003,0.0,9,4,14,0
ereq_0c50cfb5-e009-45d2-bbc2-24d11ed667ec,2026-09-17T23:54:24.372142Z,Polyworld GOTA base.bas:v1,e8aed568-d03c-49bf-beaf-68c731f05d26,Andre von Houck,3,Warlock,RedTeam,5629,275,48.85414816130751,5,1,0,1,22.206430982412506,26.647717178895007,0.0,7,1,14,0
ereq_0c50cfb5-e009-45d2-bbc2-24d11ed667ec,2026-09-17T23:54:24.372142Z,james-botts-gota:v13,40d72eea-ac61-44b0-aaf4-7828fbf30170,James Botts,4,Berserker,RedTeam,5629,875,155.44501687688754,35,0,0,4,155.44501687688754,0.0,0.0,1,0,14,0
ereq_0c50cfb5-e009-45d2-bbc2-24d11ed667ec,2026-09-17T23:54:24.372142Z,macromackie-gota:v4,1a78a3f9-8112-4c2c-831a-f0ffee8dbacc,macromackie,5,Vanguard Knight,BlueTeam,5629,625,111.03215491206254,7,3,0,4,31.08900337537751,79.94315153668502,0.0,3,3,10,1
ereq_0c50cfb5-e009-45d2-bbc2-24d11ed667ec,2026-09-17T23:54:24.372142Z,aaron-gota-ir-coordinated-support-anchor-0916:v1,9cedf3ff-c7ce-4cff-897f-d48b44e049ad,Aaron's Co-play Coach,6,Ranger,BlueTeam,5629,2600,461.8937644341801,60,4,5,1,266.4771717889501,106.59086871558003,88.82572392965002,4,4,10,1
ereq_0c50cfb5-e009-45d2-bbc2-24d11ed667ec,2026-09-17T23:54:24.372142Z,gota-codex-side-aware-team-secondary-20260917:v1,a7551ee6-ef55-48f0-81bc-d1ba68ca54c2,daveey-2,7,Arcanist,BlueTeam,5629,750,133.23858589447505,30,0,0,5,133.23858589447505,0.0,0.0,3,0,10,1
ereq_0c50cfb5-e009-45d2-bbc2-24d11ed667ec,2026-09-17T23:54:24.372142Z,aaron-gota-ir-perimeter-blue_repair-0916-aaron:v1,b64f1ccb-02e1-4ad5-b75b-f374222e9e9a,Aaron,8,Druid Warden,BlueTeam,5629,1225,217.62302362764257,25,2,3,1,111.03215491206254,53.295434357790015,53.295434357790015,3,2,10,1
ereq_0c50cfb5-e009-45d2-bbc2-24d11ed667ec,2026-09-17T23:54:24.372142Z,Jordan-ply_bcb80069-fb0c-4ba5-a45c-06b647870aeb:v218,f1cf890b-42d5-4cca-98cc-782774a7e9a7,Jordan,9,Demon Hunter,BlueTeam,5629,400,71.06057914372002,12,0,1,3,53.295434357790015,0.0,17.765144785930005,0,0,10,1
ereq_a40ee26c-a85b-4e02-a6d4-8542f49af4bd,2026-09-17T23:54:24.377030Z,Polyworld GOTA base.bas:v1,e8aed568-d03c-49bf-beaf-68c731f05d26,Andre von Houck,0,Death Knight,RedTeam,28800,4125,143.22916666666666,87,13,0,22,75.52083333333333,67.70833333333333,0.0,41,13,75,0
ereq_a40ee26c-a85b-4e02-a6d4-8542f49af4bd,2026-09-17T23:54:24.377030Z,james-botts-gota:v13,40d72eea-ac61-44b0-aaf4-7828fbf30170,James Botts,1,Crossbowman,RedTeam,28800,6675,231.77083333333334,255,2,0,7,221.35416666666666,10.416666666666666,0.0,4,2,75,0
ereq_a40ee26c-a85b-4e02-a6d4-8542f49af4bd,2026-09-17T23:54:24.377030Z,red-kite:v34,a4590ed4-0b0c-4d86-8968-0844796f30e0,Andrew Brower,2,Lich,RedTeam,28800,11825,410.59027777777777,227,39,3,23,197.04861111111111,203.125,10.416666666666666,48,39,75,0
ereq_a40ee26c-a85b-4e02-a6d4-8542f49af4bd,2026-09-17T23:54:24.377030Z,aaron-gota-ir-coordinated-support-anchor-0916:v1,9cedf3ff-c7ce-4cff-897f-d48b44e049ad,Aaron's Co-play Coach,3,Warlock,RedTeam,28800,525,18.229166666666668,3,3,0,5,2.6041666666666665,15.625,0.0,10,3,75,0
ereq_a40ee26c-a85b-4e02-a6d4-8542f49af4bd,2026-09-17T23:54:24.377030Z,gota-codex-side-aware-team-secondary-20260917:v1,a7551ee6-ef55-48f0-81bc-d1ba68ca54c2,daveey-2,4,Berserker,RedTeam,28800,5200,180.55555555555554,102,17,1,35,88.54166666666667,88.54166666666667,3.4722222222222223,31,16,75,0
ereq_a40ee26c-a85b-4e02-a6d4-8542f49af4bd,2026-09-17T23:54:24.377030Z,richard-gods-of-the-arena:v78,881a807d-68ab-4a62-9b6c-e98694cf0bc3,richard,5,Vanguard Knight,BlueTeam,28800,2050,71.18055555555556,70,2,0,14,60.763888888888886,10.416666666666666,0.0,15,2,92,0
ereq_a40ee26c-a85b-4e02-a6d4-8542f49af4bd,2026-09-17T23:54:24.377030Z,khors:v1,fa00903c-0ba4-4eec-b20f-4c082550d80f,Andre von Auto,6,Ranger,BlueTeam,28800,5075,176.21527777777777,101,17,0,6,87.67361111111111,88.54166666666667,0.0,33,17,92,0
ereq_a40ee26c-a85b-4e02-a6d4-8542f49af4bd,2026-09-17T23:54:24.377030Z,gota-g002:v1,a30542cb-54de-4109-92e6-bcabca7db4d8,Alex Smith,7,Arcanist,BlueTeam,28800,5100,177.08333333333334,96,16,3,19,83.33333333333333,83.33333333333333,10.416666666666666,30,16,92,0
